device,cpu_mae,cpu_mse,cpu_smape,mem_mae,mem_mse,mem_smape
106,0.7919674003929319,1.9189868656883622,0.03314937638274948,0.12769881513167217,0.02442656627668378,0.0024330751687059206
107,1.62892379205313,3.992255568984928,0.059178534840320145,0.1721236815534037,0.05159552558631709,0.0032787763958513267
108,0.8535345728148608,2.5204158270083408,0.030952447705739915,0.17258871448899957,0.053607364119410174,0.0032840213496108514
109,6.339781059764545,135.43917038903686,0.07439234471835648,0.1940290661521843,0.06360498850233946,0.00286061846172657
110,21.228108291755937,1125.7974357334067,0.24707175496715728,12.77920713509565,455.2565102235585,0.13671761482998002
111,45.60895983707629,2845.7066709899136,0.6439109883796492,26.848413196080426,981.141631288659,0.31823819306415185
112,44.30702570539959,2755.187606235104,0.6537790980914434,29.320564929018715,1153.1154601269816,0.3603271380104063
113,36.82386406800311,1991.736731679321,0.4781413738594266,25.302908287473908,1015.7665823718864,0.2815130031133112
114,7.103856479214781,143.64842464477192,0.14442125034960976,2.8500776543569963,9.974588215602445,0.053096340665415874
115,7.9951501308504795,179.6892298696382,0.1748079181831596,2.846621723475906,10.049559415033302,0.050781214607147934
116,6.055096051718831,111.40287019195432,0.1434562705471437,3.493592422360967,15.245326722960423,0.06327686648947621
